series,model_family,model,MAE,RMSE,MAPE,sMAPE,AIC,BIC
industrial,Machine Learning,MLP Neural Network Tuned,4.615765461410935,5.28293727264139,5.221390137509443,5.4017949024021075,,
industrial,Machine Learning,MLP Neural Network,4.825804317926672,5.542860468212836,5.462088052790453,5.6618951743058945,,
industrial,Box-Jenkins,MA(2),4.602084451410558,5.7548605626073135,5.159989185428039,5.347924905398434,1214.3111077264596,1228.4129194829868
industrial,Box-Jenkins,MA(1),4.608614573092196,5.766579293923892,5.166666954661423,5.355209861200328,1327.781381187632,1338.3696684501663
industrial,Box-Jenkins,"ARMA(1,1)",4.943038694153304,6.094208518403779,5.548124253272859,5.763305914984052,1247.6223920891453,1261.7401084391909
industrial,Box-Jenkins,AR(2),4.974638431272126,6.125281477244757,5.58400678078888,5.801871975918824,1247.5371705339703,1261.654886884016
industrial,Box-Jenkins,AR(1),5.0009404234956945,6.1515391823600805,5.613440952779227,5.833740646764022,1249.8921476519752,1260.4923161181578
industrial,Box-Jenkins,"ARIMA(1,1,1)",8.0070241240494,9.109640215156999,9.017702522577702,9.561483241590958,1268.931617130853,1283.0334288873803
industrial,Exponential Smoothing,Simple Exponential Smoothing,8.012874268873176,9.117532565986602,9.024007226996387,9.56881519089293,,
industrial,Exponential Smoothing,Holt Linear Trend,8.119351824885017,9.208157837221464,9.147688620652799,9.70401560263197,,
industrial,Baseline,Naive,8.335958683333331,9.40273647473419,9.39796414516386,9.979472387820964,,
industrial,Box-Jenkins,"ARIMA(2,1,1)",9.182138883051238,10.176565432531827,10.376126079600734,11.063477844443097,1255.5892416923002,1273.216506387959
residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",4.330322883437732,5.378049964643332,3.3233868086051594,3.3522489890001403,1392.8356175699569,1413.4116913436835
residential,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",4.631316985818623,5.961491910709401,3.499608641583576,3.5602028729347124,1393.507760657152,1414.0574607620404
residential,Baseline,Seasonal Naive,5.025753294583332,6.368753290429809,3.995067549042642,4.064728402135962,,
residential,Machine Learning,Random Forest Tuned,5.762799503256488,7.46095068943558,4.366235816052178,4.399730966991195,,
residential,Machine Learning,MLP Neural Network,5.564972308540843,7.467135660511006,4.50915209276758,4.431578756742263,,
residential,Machine Learning,Random Forest,5.939560412981628,7.936813425521988,4.500130947068649,4.509118289619648,,
residential,Exponential Smoothing,Holt-Winters Additive,7.351988435436314,8.922950835933317,5.537560237458866,5.735596322995273,,
residential,Machine Learning,Gradient Boosting Tuned,7.0632429678948965,9.055103882151936,5.341960048910908,5.444752634752575,,
residential,Machine Learning,Gradient Boosting,7.945572283331823,9.949649593781011,6.021087547998491,6.1303781792670184,,
residential,Machine Learning,MLP Neural Network Tuned,10.222095646480064,11.788518776389274,8.121112808836774,8.110548340713853,,
residential,Machine Learning,Decision Tree,8.69867593524956,12.30296896095766,6.701627803725284,6.719220651023125,,
residential,Box-Jenkins,"ARIMA(2,1,1)",15.455378356147301,18.951568380877806,12.267740723929697,12.242240171991066,1879.7634750620564,1897.3907397577152
residential,Box-Jenkins,AR(2),15.851549179614599,20.082395422277653,11.696295942255547,12.407841639306222,1904.0052629491365,1918.1229792991821
residential,Baseline,12-Month Rolling Average,19.4642196975,22.7385780414223,15.41732658648507,15.50403001022003,,
residential,Box-Jenkins,MA(2),19.342199822302764,23.590070785183148,14.4504894021483,15.332578077342838,1991.3433055638557,2005.445117320383
