date,series,actual
2011-12-01,commercial,104.86607866
2012-01-01,commercial,105.23931021
2012-02-01,commercial,100.08012366
2012-03-01,commercial,102.47442294999999
2012-04-01,commercial,101.03670763000001
2012-05-01,commercial,110.80044713
2012-06-01,commercial,118.00939147
2012-07-01,commercial,128.53530752
2012-08-01,commercial,128.1064177
2012-09-01,commercial,116.58497051
2012-10-01,commercial,110.47100997
2012-11-01,commercial,101.64073825999999
2012-12-01,commercial,104.12234865
2013-01-01,commercial,107.72874656
2013-02-01,commercial,101.0156343
2013-03-01,commercial,104.01135848
2013-04-01,commercial,101.3949418
2013-05-01,commercial,108.68260602000001
2013-06-01,commercial,117.41041288000001
2013-07-01,commercial,127.31057593000001
2013-08-01,commercial,127.06327433
2013-09-01,commercial,118.40772152999999
2013-10-01,commercial,111.90662153999999
2013-11-01,commercial,103.38447877
2013-12-01,commercial,108.76240498000001
2014-01-01,commercial,113.86592485999999
2014-02-01,commercial,104.35264247
2014-03-01,commercial,106.96788672
2014-04-01,commercial,102.45894982
2014-05-01,commercial,109.66554886
2014-06-01,commercial,118.4225304
2014-07-01,commercial,125.43414702
2014-08-01,commercial,125.60300367
2014-09-01,commercial,120.04881267
2014-10-01,commercial,113.02310288999999
2014-11-01,commercial,104.24546931
2014-12-01,commercial,108.07024439999999
2015-01-01,commercial,111.61965742000001
2015-02-01,commercial,105.48247635
2015-03-01,commercial,107.79608358
2015-04-01,commercial,104.16779782
2015-05-01,commercial,109.40565371
2015-06-01,commercial,119.27012121
2015-07-01,commercial,128.50425328999998
2015-08-01,commercial,128.51892243999998
2015-09-01,commercial,122.19540637
2015-10-01,commercial,112.82148753
2015-11-01,commercial,104.14023952000001
2015-12-01,commercial,106.82942741000001
2016-01-01,commercial,110.4104764
2016-02-01,commercial,103.45168958000001
2016-03-01,commercial,105.73917841
2016-04-01,commercial,102.04512866
2016-05-01,commercial,108.43689218
2016-06-01,commercial,120.36327304
2016-07-01,commercial,130.03831813
2016-08-01,commercial,135.01884084
2016-09-01,commercial,123.49282377
2016-10-01,commercial,112.96281663
2016-11-01,commercial,105.05986750999999
2016-12-01,commercial,110.17208074
2017-01-01,commercial,109.48838655
2017-02-01,commercial,99.63993551
2017-03-01,commercial,107.17286431999999
2017-04-01,commercial,102.58904962999999
2017-05-01,commercial,109.8720998
2017-06-01,commercial,120.0131553
2017-07-01,commercial,129.27662303
2017-08-01,commercial,128.48100787
2017-09-01,commercial,118.78875907
2017-10-01,commercial,113.2871917
2017-11-01,commercial,104.97310002
2017-12-01,commercial,109.30552109999999
2018-01-01,commercial,114.92525918
2018-02-01,commercial,102.68544876
2018-03-01,commercial,108.10834274
2018-04-01,commercial,103.33147962
2018-05-01,commercial,113.17548258
2018-06-01,commercial,122.0111754
2018-07-01,commercial,131.52157201999998
2018-08-01,commercial,134.84807012
2018-09-01,commercial,122.03347842
2018-10-01,commercial,116.13334132000001
2018-11-01,commercial,104.9831121
2018-12-01,commercial,107.99808271
2019-01-01,commercial,112.01238825
2019-02-01,commercial,102.07087863000001
2019-03-01,commercial,107.46819984
2019-04-01,commercial,102.4459396
2019-05-01,commercial,111.20095269999999
2019-06-01,commercial,115.74502702
2019-07-01,commercial,130.95145258
2019-08-01,commercial,130.7761738
2019-09-01,commercial,122.0591507
2019-10-01,commercial,115.30490269
2019-11-01,commercial,102.84001355000001
2019-12-01,commercial,108.00147569
2020-01-01,commercial,109.81219558
2020-02-01,commercial,103.01476876000001
2020-03-01,commercial,104.10984325999999
2020-04-01,commercial,91.40577238
2020-05-01,commercial,94.2991629
2020-06-01,commercial,109.59271987
2020-07-01,commercial,127.10748118000001
2020-08-01,commercial,123.05688421
2020-09-01,commercial,113.21974254000001
